lipid,EVP2D,Exomere2D,Super2D,EVP3D,Exomere3D,Super3D,ExomereFPLC,SuperFPLC,EV3D,hEV3D,NV3D
AHexCer 58:7;3O|AHexCer (O-20:4)38:3;3O,0,6.49,7,6.34,6.94,7.09,6.54,6.38,6.1,6.58,6.91
BMP 36:2|BMP 18:1_18:1,7.39,6.32,5.62,7.52,6.71,6.84,6.95,6.42,6.96,7.49,6.94
CAR 15:4,7.75,7.69,7.68,7.7,7.71,7.58,7.63,7.54,7.52,7.56,7.56
CAR 20:0,7.9,8.27,8.32,8.33,8.36,8.35,8.33,8.31,8.18,8.13,8.17
CAR 24:3,6.95,7.33,7.48,7.43,7.54,7.46,7.47,7.46,7.35,7.44,7.44
CAR 26:6,7.24,7.23,7.21,7.26,7.24,7.2,7.14,7.16,7.29,7.21,7.16
CAR 5:0,7.5,7.33,7.45,7.5,7.51,7.44,7.43,7.41,7.24,7.43,7.36
CE 16:1,6.22,6.99,6.32,5.1,5.91,6.3,6.14,5.91,5.92,5.87,5.64
CE 18:1,7.41,7.81,7.23,7.1,6.97,7.25,7.22,6.97,7.09,7.1,7.01
CE 18:2,8.88,9.35,8.75,7.19,6.79,7,6.97,6.79,6.78,6.83,6.8
CE 18:3,7.08,7.59,6.87,0,0,0,0,0,0,3.67,0
CE 20:3,7.01,7.5,6.83,6.03,5.68,6.06,6.13,5.21,5.88,5.75,5.78
CE 20:4,7.56,8.03,7.34,6.65,0,0,0,0,0,0,0
CE 22:6,7.83,8.6,8.22,7.11,6.92,6.96,6.96,7.03,6.9,7.02,6.93
Cer 21:1;4O|Cer 12:1;3O/9:0;(2OH),7.18,7.18,7.01,7.08,7.02,6.98,6.92,6.96,6.89,7.01,6.87
Cer 30:1;2O|Cer 15:1;2O/15:0,8.57,8.67,8.62,8.69,8.62,8.6,8.62,8.58,8.6,8.57,8.61
Cer 31:1;2O|Cer 17:1;2O/14:0,6.91,6.72,6.63,6.86,6.7,6.81,6.86,6.79,6.91,6.84,6.72
Cer 31:4;2O|Cer 12:2;2O/19:2,8.79,8.73,8.78,8.78,8.84,8.7,8.7,8.75,8.8,8.76,8.75
Cer 32:1;2O|Cer 18:1;2O/14:0,7.31,6.67,5.81,7.35,6.36,6.1,6.91,5.86,7.12,7.18,6.17
Cer 32:4;2O|Cer 12:2;2O/20:2,9.04,9.02,9.04,9.03,9.05,9,8.98,9.01,9.05,9.05,9.01
Cer 33:4;2O|Cer 12:2;2O/21:2,8.78,8.73,8.76,8.79,8.79,8.68,8.66,8.73,8.78,8.78,8.69
Cer 33:4;4O,7.85,7.77,7.77,7.71,7.51,7.52,7.61,7.83,7.65,7.76,7.72
Cer 33:6;2O|Cer 12:2;2O/21:4,7.74,0,0,5.1,0,3.14,0,4.22,3.5,4.81,4.41
Cer 34:0;2O|Cer 18:0;2O/16:0,8.22,7.88,7.14,8.4,7.66,7.26,7.95,7.18,8.15,8.33,7.51
Cer 34:0;3O|Cer 18:0;2O/16:0;O,7.45,7.5,7.56,7.5,7.56,7.5,7.52,7.51,7.48,7.46,7.49
Cer 34:1;2O|Cer 18:1;2O/16:0,9.27,8.66,7.7,9.26,8.4,7.76,8.77,7.75,8.98,9.16,8.12
Cer 34:1;3O|Cer 19:0;2O/15:1;O,6.76,6.98,6.91,6.96,6.81,7.22,7.22,7,7.06,7.07,6.95
Cer 34:1;4O|Cer 18:1;3O/16:0;(2OH),6.87,7.05,7.09,7.09,7.02,7.25,7.26,7.13,7.2,7.24,7.15
Cer 36:2;3O|Cer 19:0;2O/17:2;O,4.9,5.73,5.76,5.75,5.2,6.46,6.39,5.89,6.19,6.27,6.16
Cer 36:2;3O|Cer 20:1;2O/16:1;O,4.54,5.81,5.9,5.33,5.01,6.8,6.14,5.58,6.06,6.12,5.53
Cer 36:4;4O,5.8,7.18,7.12,6.81,7.2,7.18,7.01,7.2,6.9,7.3,7.01
Cer 39:2;3O|Cer 17:0;2O/22:2;O,4.97,6.28,7.3,6.04,7.25,7.11,6.74,7.46,6.72,7.46,7.38
Cer 39:2;3O|Cer 18:0;2O/21:2;O,7.04,6.44,6.28,7.24,6.62,6.24,7.01,6.33,8.31,7.99,6.82
Cer 39:2;3O|Cer 18:1;2O/21:1;O,9.07,9.2,9.18,9.16,9.16,9.14,9.11,9.13,9.11,9.04,9.14
Cer 39:3;3O|Cer 18:1;2O/21:2;O,5.89,5.66,4.68,5.52,4.26,4.37,4.53,4.75,7.27,6.64,4.76
Cer 40:1;2O|Cer 18:1;2O/22:0,8.22,7.91,7.56,8.25,7.67,7.81,7.95,7.63,7.98,8.1,7.75
Cer 40:1;3O|Cer 18:1;2O/22:0;O,7.83,7.23,7.13,7.66,7.16,7.19,7.27,7.17,7.3,7.49,7.13
Cer 40:4;3O|Cer 18:1;2O/22:3;O,7.27,6.88,5.8,6.81,5.96,5.8,6.09,5.87,6.9,6.58,5.83
Cer 41:1;2O|Cer 18:1;2O/23:0,7.36,7.04,6.88,7.35,6.85,6.98,7.07,6.85,7.14,7.23,6.99
Cer 41:1;3O|Cer 18:1;2O/23:0;O,7.55,7.03,6.64,7.37,6.69,6.73,6.84,6.68,6.98,7.11,6.75
Cer 42:0;2O|Cer 18:0;2O/24:0,8.33,7.79,7.48,8.49,7.68,7.72,7.96,7.52,8.17,8.27,7.79
Cer 42:1;2O|Cer 18:1;2O/24:0,8.89,8.25,7.65,8.75,7.95,7.96,8.26,7.78,8.38,8.55,8.01
Cer 42:1;3O|Cer 18:1;2O/24:0;O,8.87,8.36,7.11,8.84,8,7.23,8.33,7.18,8.46,8.64,8.01
Cer 42:2;2O|Cer 18:1;2O/24:1,8.13,7.46,6.35,8.08,6.89,6.4,7.31,6.4,7.59,7.86,6.82
Cer 42:2;3O|Cer 18:1;2O/24:1;O,7.8,7.03,6.2,7.35,6.17,6.06,6.46,6.09,6.74,6.99,6.14
Cer 43:1;2O|Cer 18:1;2O/25:0,7.16,6.82,6.73,7.02,6.59,6.89,6.86,6.68,6.94,6.94,6.84
Cer 43:1;3O|Cer 18:1;2O/25:0;O,7.56,7.15,6.7,7.45,6.68,6.78,6.96,6.67,7.08,7.18,6.76
Cer 43:1;3O|Cer 19:0;2O/24:1;O,6.7,7.53,7.28,7.23,7.31,7.5,7.48,7.36,7.4,7.6,7.44
Cer 43:1;4O|Cer 17:1;3O/26:0;(2OH),6.53,6.35,6.18,6.72,6.46,6.53,6.76,6.29,7.59,7.23,6.55
Cer 44:1;2O|Cer 18:1;2O/26:0,7.51,7.01,6.89,7.14,6.82,7.05,7.08,6.91,7.06,7.15,7
Cer 44:1;3O|Cer 19:0;2O/25:1;O,7.31,7.47,7.43,7.46,7.57,7.7,7.78,7.54,7.67,7.72,7.64
Cer 44:1;3O|Cer 20:1;2O/24:0;O,8.26,7.87,6.9,7.98,6.99,7.09,7.34,6.89,7.49,7.72,7.17
Cer 44:2;2O|Cer 18:1;2O/26:1,7.44,6.6,5.76,6.86,5.78,5.26,6.27,5.44,6.41,6.61,5.76
Cer 44:4;2O|Cer 15:3;2O/29:1,7.41,8.2,8.19,7.95,8.32,8.32,8.39,8.37,8.32,8.32,8.4
