lipid,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,Supermere_3D_S16,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12
Acidic glycosphingolipids [SP06],8.875963154,8.899935674,8.810593083,7.828195888,7.755593952,7.446797278,5.688620014,5.629357603,5.408153437,7.880960633,8.482801416,8.501048921,7.273101438,7.574154625,7.585069892,7.958046387,8.114817152,7.944421378,7.774826723,7.786581439,7.870157628,7.12943807,5.979863283,5.815109999,5.976405466,6.064171485,7.960273326,8.585983925,7.636605561,7.660226747,7.723492565,7.972877166,7.955215349,7.93478596,7.214899455,6.425289943,6.522129549,6.44036745
Bile acids and derivatives [ST04],8.25935036,8.274975781,8.341964371,8.249826969,8.257293281,8.119619004,8.351037176,8.333409823,8.432318126,8.354292881,8.332812416,8.384955712,8.379023069,8.403880864,8.433357657,8.300751039,8.347345679,8.201421753,8.237161906,8.401819166,8.293792704,8.246163624,8.283125035,8.348057866,8.257350732,8.321776173,8.278014226,8.146213313,8.074646115,8.312101295,8.263150469,8.36924444,8.388481325,8.302571973,8.307614511,8.376161312,8.383609887,8.301805988
Ceramides [SP02],10.10932663,10.09901767,10.19963724,9.854004276,9.800428967,9.794665894,9.672507803,9.732899065,9.71662715,9.853027516,10.05814434,10.07483186,9.751959088,9.725395849,9.769084195,9.674667143,9.719153338,9.641428353,9.782133502,9.780673316,9.829015761,9.718134646,9.697556383,9.687321884,9.649277977,9.703091033,9.897606105,10.07352748,9.739122688,9.830022466,9.825434272,9.919435063,9.939332085,9.899137798,9.759164771,9.70401829,9.691507053,9.7322781
Diradylglycerols [GL02],10.25995482,10.25829851,10.24703396,10.17072057,10.13235654,10.06750361,10.12900348,10.13136232,10.15377451,10.13881709,10.15957607,10.17403316,10.13252881,10.13831655,10.1438373,10.12037144,10.15071664,10.12472602,10.11193868,10.10658555,10.10178452,10.10978393,10.08499054,10.09823058,10.09556673,10.11124988,10.27692728,10.41371155,10.12830294,10.20459037,10.16310589,10.16595177,10.18141277,10.1283498,10.11976331,10.12805356,10.11084833,10.1330578
Fatty acids and Conjugates [FA01],9.445525398,9.410023541,9.499244218,9.445448039,9.462672697,9.348189106,9.431268327,9.454956883,9.443742131,9.432103233,9.426352136,9.461703631,9.432841663,9.431766443,9.490803911,9.379570551,9.413528898,9.356626298,9.372762841,9.399598143,9.450855414,9.35861091,9.392527639,9.457162136,9.348215656,9.408574936,9.474760078,9.382586487,9.361411693,9.456719169,9.410832287,9.522176605,9.530321274,9.491270191,9.415019396,9.4997857,9.466567302,9.466491074
Fatty amides [FA08],9.040122181,8.88344155,8.941207354,9.034841301,8.980549007,8.97623147,8.895235713,9.067579649,8.994699874,8.927094611,8.969392102,8.895899673,8.889705598,8.904529722,8.996951915,9.022805127,9.138367792,9.737766193,9.356601689,9.164765691,9.372770399,9.241905684,9.509981726,9.532952963,9.477877175,9.260542833,8.997440732,8.869205802,8.975454642,9.097920877,9.273842758,9.205466531,9.230050809,9.133613745,9.204496342,9.210336113,9.230647697,9.311706524
Fatty esters [FA07],8.275132796,8.302657838,8.287083097,8.438761698,8.470039547,8.522375793,8.551907349,8.517141922,8.501838912,8.521066121,8.537489345,8.529414898,8.578024973,8.533651533,8.575486376,8.510666208,8.544150536,8.530243179,8.52740246,8.548008006,8.477407363,8.515550481,8.532935368,8.451520317,8.515223894,8.470796546,8.428342716,8.406768386,8.344024792,8.386338261,8.427038831,8.374497917,8.379537989,8.351677797,8.416850003,8.431430589,8.379406641,8.376630556
Glycerophosphates [GP10],8.236166373,8.397020961,8.293828631,8.076703334,8.044835407,7.86188132,7.872749196,7.88270147,7.868828096,7.936989703,8.03134523,8.108928816,7.931789003,7.919986434,7.912815348,7.838826022,7.846565836,7.867121382,7.913284231,7.883353863,7.882583611,7.86269867,7.833284068,7.822753498,7.821521081,7.83109631,7.944955682,8.04268386,7.620067927,7.792117192,7.808304515,7.857464019,7.875741987,7.775469019,7.868597592,7.836983192,7.854074954,7.848747039
Glycerophosphocholines [GP01],11.21225396,11.21465986,11.2002502,10.52517677,10.47206036,10.28646103,9.477539747,9.557066381,9.569150721,10.3410557,10.7943672,10.80531596,9.925876771,9.828184293,9.949247512,9.59663372,9.664576924,9.624214134,10.1769503,10.04561824,10.26244801,9.810929454,9.541513734,9.575192573,9.550502312,9.539892781,10.01458446,10.44792943,10.1010492,9.893153218,9.973808564,10.01768934,10.02137992,10.00641323,9.736579339,9.551607067,9.66032714,9.761236183
Glycerophosphoethanolamines [GP02],10.65294149,10.64965148,10.66745467,9.882080457,9.824150319,9.643814636,8.812277056,8.981470349,9.054317566,9.874060857,10.2645629,10.30663541,9.422764097,9.325387974,9.453175919,9.033446341,9.064135242,9.023807605,9.696684312,9.636500417,9.765102742,9.363245273,9.422769256,9.297987106,9.102064744,9.277334356,9.648849353,10.03965344,9.708640874,9.505501977,9.499532249,9.517179893,9.580333171,9.592002259,9.916667016,9.413353393,9.634352853,9.777903731
