lipid,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,Supermere_3D_S16,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12
AHexCer 58:7;3O|AHexCer (O-20:4)38:3;3O,0,0,0,6.630064116,6.637906312,6.206082894,7.100349416,6.9635813,6.945500737,6.780270999,6.261489119,5.965630608,6.86448183,6.96842191,6.98235062,7.095813269,7.126964116,7.034620116,6.429565445,6.253655612,6.634428296,6.8427755,6.314318778,6.189131388,6.562161842,6.451670557,5.800132587,0,6.007585634,6.501912764,6.485331096,6.664035891,6.860401379,6.307654537,7.084271128,6.770990449,6.951584278,6.842475873
BMP 36:2|BMP 18:1_18:1,7.304423461,7.389358957,7.485259566,6.418751431,6.348654689,6.201511282,4.111060782,6.257238059,6.500008973,7.160144175,7.658350196,7.739788829,6.465009227,6.740507641,6.916595795,6.824049451,6.898770583,6.801679225,7.079993485,7.056382431,7.152375409,6.518670521,6.695336216,6.349960203,6.17674626,6.465751548,7.023905633,7.396412901,6.766390016,6.643658227,7.35693522,7.548228755,7.518183685,7.525354161,7.237340794,6.604282119,6.774490907,7.138434293
CAR 15:4,7.774525761,7.755694281,7.711961667,7.724097731,7.657931909,7.675474642,7.747116395,7.648313641,7.632251181,7.685430197,7.699983376,7.700501308,7.779074108,7.580549074,7.764302687,7.566283558,7.679783772,7.49171186,7.632997435,7.737508378,7.468952306,7.679896182,7.534386256,7.497229802,7.579176223,7.551173193,7.652501977,7.492976603,7.421204933,7.504730016,7.496547674,7.566604543,7.656256408,7.525413257,7.50134954,7.656924866,7.550340069,7.518601566
CAR 20:0,7.8499649,7.937496433,7.922795692,8.176100897,8.263888915,8.370817609,8.346135853,8.323471171,8.304372082,8.312463915,8.337847451,8.324748495,8.369493125,8.35941338,8.339183907,8.333386943,8.336501522,8.387859723,8.352129212,8.346881445,8.301630993,8.326344549,8.369291665,8.250568596,8.345429413,8.293023299,8.216604065,8.220454634,8.145048855,8.149434275,8.19979466,8.109160401,8.090811371,8.101639095,8.227222701,8.179776328,8.15198088,8.139084195
CAR 24:3,7.03550062,6.93576711,6.870464363,7.249254604,7.371688238,7.375101923,7.51300585,7.459694022,7.46940871,7.450858003,7.406314749,7.438446952,7.518330063,7.555522882,7.55590302,7.485969117,7.47674889,7.421545343,7.431517783,7.524557748,7.507143409,7.417585757,7.482676492,7.480673505,7.457287021,7.428148325,7.376171944,7.254839177,7.37474961,7.40836306,7.468977826,7.449407626,7.421702405,7.426120627,7.411280976,7.493942225,7.503927689,7.350183936
CAR 26:6,7.299112899,7.190687898,7.232444511,7.244300852,7.22318801,7.219344236,7.119542673,7.3016481,7.221923537,7.171731367,7.266717313,7.346264444,7.256148678,7.228516129,7.243961666,7.222251892,7.243831536,7.145202313,6.999818818,7.141411297,7.21036374,7.222569722,7.174176409,7.160985115,7.146799184,7.16778491,7.30237533,7.370294703,7.130283452,7.366354268,7.182424525,7.274211601,7.229112485,7.17354006,7.102628306,7.19998652,7.060766302,7.279067711
CAR 5:0,7.437255391,7.519055247,7.530815127,7.56055016,7.411578109,7.01811393,7.51681647,7.398099296,7.43141927,7.544745028,7.517979706,7.436883661,7.520678627,7.342435374,7.665318468,7.388879302,7.576342882,7.368810457,7.503686971,7.461925213,7.344409036,7.398787601,7.440164242,7.456524157,7.404009434,7.34678629,7.167198848,7.216054529,7.24517386,7.332789652,7.516861679,7.388728361,7.442496121,7.366488722,7.346692706,7.420679459,7.272659748,7.412706253
CE 16:1,6.302434402,6.472815082,5.895340763,7.031478188,7.300891629,6.640234107,6.329411101,6.439276785,6.179261303,6.015527404,3.844663528,5.447035481,6.02504644,6.277537934,5.421676303,6.186103853,6.423325351,6.292344915,5.884067155,6.139656847,6.29818672,6.256142635,5.659810702,6.381277031,5.984829189,5.618674494,6.006125319,5.814141007,5.782058916,6.065207249,5.752738926,6.117480105,5.956184764,5.655642577,5.765961958,5.629677637,5.260817638,5.910841498
CE 18:1,7.40192825,7.492623418,7.327861955,7.801036202,8.01195398,7.621324924,7.271382568,7.338090357,7.067663243,7.150483163,7.199483549,6.956418846,7.008957806,7.106327898,6.79872148,7.022264603,7.402706886,7.335441552,7.184443472,7.244298526,7.196656684,7.250135544,6.869637595,7.231502238,6.876236379,6.907202279,7.40409549,6.980277686,6.990700483,7.001413238,7.130249732,7.072979201,7.102725573,7.105086072,7.083875587,6.867620966,6.928344379,7.16925407
CE 18:2,8.840430274,8.941699628,8.8469626,9.567342118,9.498779954,8.977999974,8.843422715,8.877580016,8.524918635,7.0214159,7.970829006,6.577277012,6.882991992,6.89566068,6.606126841,6.828697976,7.159779777,7.010028947,6.982385175,6.9157978,6.975213503,6.998145605,6.685239368,7.011065997,6.668923885,6.781660968,7.175319295,6.538594594,6.705488843,6.715817476,6.892892137,6.791888106,6.800398043,6.839650411,6.885267282,6.661212301,6.729004087,6.929346469
