lipid,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,Supermere_3D_S16,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12
AHexCer,0,0,0,6.630064116,6.637906312,6.206082894,7.100349416,6.9635813,6.945500737,6.780270999,6.261489119,5.965630608,6.86448183,6.96842191,6.98235062,7.095813269,7.126964116,7.034620116,6.429565445,6.253655612,6.634428296,6.8427755,6.314318778,6.189131388,6.562161842,6.451670557,5.800132587,0,6.007585634,6.501912764,6.485331096,6.664035891,6.860401379,6.307654537,7.084271128,6.770990449,6.951584278,6.842475873
ASM,9.281325159,9.294112453,9.280611059,9.294554738,9.231580397,9.260075359,9.24949354,9.2593584,9.265588868,9.231307,9.283568006,9.272975167,9.280556023,9.265010049,9.268086312,9.244474301,9.247436164,9.239357676,9.23718306,9.247981464,9.226077461,9.236718116,9.224777612,9.198317717,9.236198335,9.229361699,9.173728359,9.241852754,9.18005328,9.238911412,9.208365602,9.232741982,9.220471413,9.107425327,9.153032257,9.221656712,9.2286399,9.241911836
BMP,7.304423461,7.389358957,7.485259566,6.418751431,6.348654689,6.201511282,4.111060782,6.257238059,6.500008973,7.160144175,7.658350196,7.739788829,6.465009227,6.740507641,6.916595795,6.824049451,6.898770583,6.801679225,7.079993485,7.056382431,7.152375409,6.518670521,6.695336216,6.349960203,6.17674626,6.465751548,7.023905633,7.396412901,6.766390016,6.643658227,7.35693522,7.548228755,7.518183685,7.525354161,7.237340794,6.604282119,6.774490907,7.138434293
CAR,8.275132796,8.302657838,8.287083097,8.438761698,8.470039547,8.522375793,8.551907349,8.517141922,8.501838912,8.521066121,8.537489345,8.529414898,8.578024973,8.533651533,8.575486376,8.510666208,8.544150536,8.530243179,8.52740246,8.548008006,8.477407363,8.515550481,8.532935368,8.451520317,8.515223894,8.470796546,8.428342716,8.406768386,8.344024792,8.386338261,8.427038831,8.374497917,8.379537989,8.351677797,8.416850003,8.431430589,8.379406641,8.376630556
CE,8.913606312,9.023326407,8.91974197,9.639560066,9.610545623,9.131981255,8.976243167,9.029707808,8.664007838,7.562223431,8.153620434,7.345901112,7.447229901,7.502461193,7.285356565,7.43271853,7.729304649,7.663042456,7.515248632,7.561627599,7.603175541,7.639537456,7.359707413,7.655255871,7.363205019,7.392050851,7.683633084,7.36442506,7.383019861,7.435232548,7.475271003,7.475044394,7.552573026,7.499012743,7.460903869,7.335899573,7.355644697,7.540699931
Cer_AP,8.032124677,7.959164547,7.988940946,8.016996155,7.967727642,8.106128381,8.010137431,7.971380053,7.971962206,7.881951506,8.061463208,7.92876545,7.718696322,7.885368481,8.032284334,7.83509405,7.854218318,8.049990411,7.875340222,8.019648355,7.880072414,7.995808413,8.116219315,8.012817323,7.931622292,8.140224371,8.023263772,8.423003739,8.107505766,8.015058797,8.153044795,8.134165316,8.069416033,8.052144506,8.011477177,8.041429401,7.726480267,8.016027983
Cer_EOS,9.679481808,9.697751145,9.646110986,8.969800988,8.919193801,8.795446729,8.484781555,8.508058543,8.522425912,8.760271748,9.047238743,9.052026664,8.619417176,8.552350026,8.60176372,8.488583414,8.509617289,8.468842748,8.715169464,8.601889559,8.793260662,8.686641689,8.574329477,8.622256682,8.549952971,8.54719343,8.603689595,8.952020744,8.652226368,8.685827374,8.632265518,8.702124426,8.718529933,8.657142271,8.622687233,8.589957327,8.592781617,8.596998419
Cer_HDS,8.038615934,8.021817013,8.04679704,8.100542857,8.249782095,8.024193854,8.041409449,8.110382213,8.091530751,8.292328349,8.051709976,8.014864986,8.104040453,8.073389496,8.162496673,8.08192318,8.337655125,8.161258555,8.323900435,8.259863056,8.241749269,8.193290297,8.024544839,8.264910901,8.177571421,8.110322396,8.768464994,9.006685015,8.339665952,8.481428463,8.450970659,8.512312701,8.48776847,8.537488756,8.329629975,8.117527709,8.068131794,8.243673698
Cer_HS,9.309687723,9.30596914,9.474601459,9.327641933,9.261640744,9.298836174,9.205432758,9.214075296,9.212124671,9.286990378,9.437722453,9.442960194,9.230320077,9.190887807,9.219907564,9.16842742,9.199272111,9.154567371,9.245811048,9.251966728,9.210360429,9.143992728,9.172603405,9.154009692,9.119816496,9.184801327,9.257975759,9.39669473,9.199600651,9.201255168,9.162436606,9.264361685,9.281270324,9.257779435,9.242616187,9.188414291,9.202640761,9.185822453
Cer_NDS,8.406444877,8.481336033,8.887782136,8.144059873,8.11488118,8.233725227,7.660238105,7.764128604,7.754907634,8.464978311,8.890877431,8.923884815,8.055566742,7.926296282,8.051716087,7.780714283,7.997349782,7.925070263,8.353731864,8.4178551,8.389945916,7.954919423,7.677308035,7.855402995,7.713631603,7.754348772,8.51531071,8.859993558,8.271948207,8.263304056,8.428858482,8.664331804,8.683952342,8.666514815,8.334230414,7.840331649,7.887577976,8.046262776
Cer_NS,9.745835895,9.703535961,9.87185791,9.570127794,9.512969844,9.50698568,9.404176052,9.500563238,9.472850347,9.607759743,9.817709992,9.842140855,9.510543611,9.494899821,9.53798664,9.430813479,9.468912783,9.364816513,9.513669102,9.518577032,9.602638789,9.477295343,9.452771704,9.425580251,9.397814886,9.453459833,9.669040754,9.809677831,9.465109374,9.612436852,9.614325448,9.702596276,9.728710126,9.675918131,9.483359677,9.449626215,9.428339077,9.488402757
CL,8.437132393,8.514194849,8.525310577,7.471090569,7.512406765,7.193508779,6.337933232,7.289726576,7.606058997,7.51772105,8.037856671,8.067277047,6.753123935,7.174269865,7.188063475,7.713207504,7.683664883,7.582048901,7.525402259,7.421009277,7.293313199,7.403191959,7.85920734,7.943008561,7.430803501,7.831450775,8.004825783,8.34333366,7.248255662,7.479891351,8.192212759,8.298635229,8.409860384,8.367991702,8.839715031,8.319279401,8.502490413,8.603008518
CoQ,7.056349972,7.142097126,7.426354415,6.314493544,6.384480117,6.284010224,0,5.975293456,6.168484519,6.79936378,7.33940314,7.366397534,5.353094543,6.475310967,6.56020921,7.12779041,7.140224496,7.071897391,6.765848791,6.753759575,6.654329914,6.49883346,7.238613002,7.204580633,6.730679179,7.338389711,7.228591899,7.573416091,6.515714926,6.486043054,7.264118613,7.66109075,7.719127726,7.761464218,8.038914123,7.662077108,7.790994188,7.777641241
