rna,EVP2D,Exomere2D,Super2D,EVP3D,Exomere3D,Super3D,ExomereFPLC,SuperFPLC,EV3D,hEV3D,NV3D
hsa-let-7a-3p,61.09,51.15,28.88,14.96,5.15,0.84,18,0.87,8.49,1.22,0.18
hsa-let-7a-5p,14705.9,270.29,182.36,1436.63,351.87,7.05,1643.19,37.4,1218.6,58.61,6.36
hsa-let-7b-3p,10.79,7.08,2.97,2.52,3.46,0.23,11.49,1.02,3.77,0.32,0.15
hsa-let-7b-5p,6239.99,4845.54,2405.11,383.58,115.73,10.42,541.64,18.84,404.18,16.64,3.04
hsa-let-7c-3p,0.49,0.18,0.03,0.15,0,0,0.74,0,0.19,0,0
hsa-let-7c-5p,651.66,15.61,14.88,73.29,9.2,1.4,82.66,2.02,68.68,3.58,0.35
hsa-let-7d-3p,83.24,220.18,152.61,63.36,112.5,24.1,192.59,46.15,49.85,2.53,1.64
hsa-let-7d-5p,1396.53,11.35,3.31,153.68,15.98,0.36,165.1,1.16,131.26,6.03,0.82
hsa-let-7e-3p,0.15,0,0,0,0.32,0,0.08,0,0,0.07,0
hsa-let-7e-5p,77.33,0.48,0.48,8.98,1.74,0,8.73,0.7,10.12,0.31,0.05
hsa-let-7f-1-3p,4.73,0.92,0.17,1.72,0,0.14,3.96,0.03,0.53,0.12,0.05
hsa-let-7f-2-3p,3.96,1.82,1,0.47,0,0,0.48,0,0.21,0.03,0
hsa-let-7f-5p,13058.49,258.08,150.64,1821.44,384.47,8.14,2099.16,35.96,1418.15,81.88,6.48
hsa-let-7g-3p,3.56,14.9,4.98,0.95,1.38,0.13,0.27,0.32,0.28,0.08,0
hsa-let-7g-5p,9124.82,423.9,295.86,2316.98,1440.8,30.61,2348.96,150.89,980.32,86.84,7.1
hsa-let-7i-3p,7.03,12.94,9.96,0.31,0.57,0,0.67,0.19,0.34,0.07,0
hsa-let-7i-5p,1021.32,1084.95,488.28,92.09,26.14,1.6,73.31,4.86,41.19,3.9,0.41
hsa-miR-100-5p,0.57,0.63,0.55,0.03,1.39,0,0.88,0,0.17,0.35,0.04
hsa-miR-101-2-5p,1.35,0,0,0.1,0,0,0,0,0.17,0,0.01
hsa-miR-101-3p,912.89,345.46,108.94,236.46,267.93,25.8,388.49,14.43,130.94,27.64,3.06
hsa-miR-101-5p,0.16,0.34,0.66,0.21,0.11,0,0.89,0,0,0,0
hsa-miR-10394-3p,0.6,0.48,0,0.02,0,0,0,0,0.11,0,0
hsa-miR-10395-3p,0.15,0,0.02,0.09,0,0,1.69,0,0.01,0,0.06
hsa-miR-10399-3p,2.03,0,0.15,0,0,0,0,0,0.08,0,0
hsa-miR-10399-5p,0.6,0.01,0.08,0.15,0,0,0,0,0,0,0
hsa-miR-103a-2-5p,0.95,0.04,0,0.87,0,0.12,0.79,0,0.23,0,0
hsa-miR-103a-3p,4244.5,271.53,167.91,652.57,117.1,4,558.9,11.06,461.4,34.02,2.18
hsa-miR-10401-3p,4.75,2.63,3.07,0.67,0.47,0,1.28,0.45,0.32,0.07,0.03
hsa-miR-10401-5p,0.23,0.57,0,0,0.08,0,0,0,0.01,0.03,0.02
hsa-miR-10524-5p,0,0,0,0.08,0,0,0,0,0,0,0
hsa-miR-10527-5p,2.67,3.98,1.02,0.15,0,0,0,0,0.28,0.04,0
hsa-miR-105-3p,0.23,0.02,0.03,0,0,0,0,0,0,0.01,0
hsa-miR-105-5p,24.65,3.51,1.08,5.76,3.23,0.34,11.16,0.97,2.89,0.39,0.02
hsa-miR-106a-5p,11.29,3.12,1.79,1.06,0.23,0.12,1.34,0.03,0.65,0.08,0.01
hsa-miR-106b-3p,325.77,30.09,11.04,23.86,6,0.42,36.15,1.53,16.91,2.42,0.1
hsa-miR-106b-5p,659.99,27.51,9.47,76.19,26.57,0.58,114.09,1.33,36.01,7.93,0.73
hsa-miR-107,244.82,127.7,83.36,27.31,24.7,1.63,46.81,4.11,10.21,1.31,0.47
hsa-miR-10a-3p,349.19,1537.36,971.66,98.46,359.2,25.97,202.36,66.83,8.66,1.27,2.6
hsa-miR-10a-5p,4375.82,4280.95,2467.34,937.31,1127.09,274.83,2420.32,512.7,1263.16,126.75,18.31
hsa-miR-10b-3p,1.04,3.04,2.95,0,0.9,0,0,0,0,0,0
hsa-miR-10b-5p,10.1,14.23,6.75,0.59,1.39,0.27,2.17,0.26,0.56,0.13,0
hsa-miR-11399,0.15,0.19,0.1,0,0,0,0.24,0.09,0,0.04,0
