protein,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,Supermere_3D_S16,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12,Supermere_NCB_A,Supermere_NCB_B,Supermere_NCB_C,EV_NCB_A,EV_NCB_B,EV_NCB_C,NV_NCB_A,NV_NCB_B,NV_NCB_C,Exomere_NCB_A,Exomere_NCB_B,Exomere_NCB_C,sEVp_2D_1,sEVp_3D_1_A,sEVp_3D_1_B,sEVp_3D_1_C,Exomere_2D_1,Exomere_3D_1_A,Exomere_3D_1_B,Exomere_3D_1_C,Supermere_2D_1,Supermere_3D_1_A,Supermere_3D_1_B,Supermere_3D_1_C
A2M,4.180085855,4.973837644,4.310702254,9.019881514,9.049413187,7.508392496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33928212,2.046649921,1.827352618,1.144413232,7.031101405,9.422502575,5.946602123,2.868412544,0,0,0,5.289348172,1.285590082,0.691444406,2.031066644,0,0,0,0
AACS,2.090042927,0.994767529,3.448561804,0,0,0,0,0,0,5.014569936,7.319796489,1.974969082,2.016771065,0,1.05557612,0,0.99780066,1.102994806,0,0,0,0,0.919230061,1.981733347,0.932803738,0,0,0,0,0,0,0,0,0,0,0,0,0,1.446783838,1.473047264,0,0,1.239567809,0,5.116624801,2.741028927,2.288826463,2.109330422,1.713182286,1.486650531,0.717103136,0,0,0.682065125,0,0,1.382888812,0,0,1.945108484,3.240689633,2.764054279
AAMP,0,0,0.862140451,1.002209057,1.005490354,0.938549062,2.707568496,3.914693337,6.393978219,2.005827974,3.659898244,1.974969082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.473047264,2.190657351,0,0,0,0,0,0,1.406220281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42514948,22.09570896,21.90657351,10.68547832,4.958271237,2.67856424,34.79304865,36.54705236,38.91004988,36.56172731,35.97682801,37.16626327,34.42095053,3.204301938,6.095473977,3.410325623,25.12440382,4.499565287,6.91444406,7.447244362,7.78270899,5.835325451,11.01834475,2.764054279
AARS1,21.94545074,19.89535058,33.62347758,30.06627171,29.15922027,38.48051154,10.83027398,10.76540668,25.57591288,40.11655949,42.08882981,33.5744744,16.13416852,15.22571506,19.00037015,5.406532691,2.993401979,7.720963642,2.397693832,15.77133183,3.933657383,9.942649779,0,0,0,0,0,1.671719286,1.477353464,1.595811016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA1,1.045021464,2.984302586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.126523702,1.311219128,1.42037854,0,0,0,0,1.684272697,11.70203501,8.864120782,3.191622032,3.308253232,0,0,0,0,0,0,0,0,0,0,25.95044735,24.79135618,26.7856424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.684272697,5.015157859,2.954706927,3.191622032,23.15777262,20.15006729,6.241050492,11.84336992,5.759376803,0,0,0,0,0,0,3.052993806,0,1.33928212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC1,1.045021464,0.994767529,0.862140451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.15845427,15.04547358,22.16030195,14.36229914,0,0,0,0,0,0,0,0,0,0,0,4.579490709,6.197839046,5.35712848,0,0,0,0,0,0,0,0,0,2.046195374,0,0,0,0,0,0,0,0
ABCC3,0,0.994767529,0,0,0,0,0,0,0,1.002913987,0,0.987484541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.94836315,21.73235072,23.63765542,23.93716524,26.46602585,6.716689098,12.48210098,8.88252744,0,0,0,0,0,0,0,6.105987612,7.437406855,10.71425696,0,0,0,0,0,0,1.434206272,7.209679361,4.740924204,5.456520996,0,0,0,0,0,0,0,0
ABCE1,15.67532196,18.90058305,28.45063488,7.0154634,8.043922833,13.13968687,1.805045664,1.957346669,4.567127299,24.06993569,17.38451666,18.76220628,4.03354213,1.087551076,1.05557612,0,0,0,3.596540748,4.506094808,3.933657383,11.36302832,0,0,0,0,0,0,1.477353464,1.595811016,0,0,0,0,0,0,0,0,2.893567675,0,2.920876468,3.052993806,4.958271237,2.67856424,14.32654944,14.61882094,14.87737201,11.24976225,8.565911432,6.689927388,8.605237633,9.612905815,13.54549773,12.95923737,1.983505564,0.642795041,2.074333218,2.031066644,0,0,0,0
ABCF1,5.225107319,5.968605173,12.93210676,0,2.010980708,1.877098124,0,0,0,4.011655949,1.829949122,1.974969082,1.008385532,0,1.05557612,0,0,0,0,0,0,1.42037854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.893567675,3.68261816,1.460438234,3.052993806,1.239567809,1.33928212,15.3498744,10.96411571,12.58854555,11.24976225,9.422502575,9.663228449,2.151309408,0,2.031824659,0,0,0,0,0,0,0,0,0
ABCF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.741028927,1.144413232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD10,0,0,1.724280902,0,0,0,0,0,2.74027638,6.017483923,6.404821928,4.937422706,1.008385532,1.087551076,0,0,0,1.102994806,0,1.126523702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.616959594,1.473047264,0,0,0,0,2.046649921,1.827352618,1.144413232,0.703110141,0,0,3.585515681,0,4.740924204,4.774455872,1.322337043,0.642795041,0.691444406,0.677022215,1.297118165,3.890216968,2.592551706,2.073040709
ABHD11,0,0,0,0,0,0.938549062,1.805045664,1.957346669,3.653701839,0,0,0,0,0,0,0,0,1.102994806,0,0,0,0,0.919230061,1.981733347,0.932803738,0,0,0,0,0,0,0,0,0,0,0,0,0,3.616959594,4.419141792,3.651095585,0,0,0,0,0,0,0,0,0,1.434206272,0,0,0,1.322337043,0,0,0,5.18847266,0.648369495,1.296275853,0.69101357
ABHD14B,2.090042927,0,3.448561804,0,3.016471062,1.877098124,4.51261416,4.893366672,6.393978219,6.017483923,4.574872806,3.949938165,0,0,0,0,0,0,1.198846916,2.253047404,2.622438255,2.84075708,0,1.981733347,0.932803738,0,3.368545393,3.343438573,1.477353464,0,0,0,0,0,0,0,0,0,4.340351513,4.419141792,2.190657351,0,0,0,0,0.913676309,0,1.406220281,0,0,2.868412544,0,0,0,1.322337043,0,0.691444406,0,2.59423633,0,1.94441378,0
ABI1,3.135064391,3.979070115,1.724280902,3.006627171,3.016471062,0.938549062,0,0,0,2.005827974,1.829949122,0.987484541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.368545393,3.343438573,2.954706927,1.595811016,0,0,0,0,0,0,0,0,0,0,0,1.526496903,2.479135618,2.67856424,1.02332496,1.827352618,2.288826463,4.218660843,2.569773429,3.716626327,0,0,0,0,0,0,0,0,0,0,0,0
ABP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.97778583,53.76622514,56.95709112,4.579490709,7.437406855,6.6964106,18.41984928,23.75558404,21.7438514,58.35814166,60.81797116,55.00606963,40.15777562,28.03764196,24.38189591,25.23640961,68.10035771,63.63670906,78.82466228,91.39799898,35.67074954,35.6603222,41.4808273,58.73615342
ABR,1.045021464,0.994767529,2.586421353,0,0,0,0,0,0.91342546,0,0.914974561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.684272697,1.671719286,2.954706927,1.595811016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.093299841,2.741028927,2.288826463,2.109330422,0.856591143,0.743325265,0,0,0,0,0,0,0,0,0,0,0,0
ABRACL,0,0,0,0,1.005490354,0,0.902522832,1.957346669,0.91342546,0,0,0,0,0,0,1.081306538,1.99560132,2.205989612,0,0,0,1.42037854,3.676920243,4.954333366,5.59682243,2.100599811,1.684272697,1.671719286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRAXAS2,5.225107319,5.968605173,5.172842705,4.008836229,5.027451771,1.877098124,0.902522832,0.978673334,0,4.011655949,4.574872806,4.937422706,0,0,1.05557612,0,0,0,0,1.126523702,0,2.84075708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAA1,0,0,1.724280902,3.006627171,2.010980708,0.938549062,0.902522832,1.957346669,3.653701839,8.023311897,6.404821928,4.937422706,0,0,0,0,0,0,0,0,0,2.84075708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.233919188,7.365236321,6.571972053,0,0,0,5.116624801,3.654705236,4.577652927,2.812440562,3.426364573,3.716626327,12.90785645,0.801075485,2.709099545,2.046195374,7.934022258,0.642795041,0,0.677022215,5.18847266,6.483694946,6.481379266,4.837094988
ACAA2,2.090042927,1.989535058,2.586421353,30.06627171,31.17020098,43.17325685,27.97820779,25.44550669,29.22961472,50.14569936,46.66370262,41.47435073,20.16771065,25.01367475,29.55613135,16.21959807,9.978006598,12.13294287,17.98270374,30.41613995,10.48975302,18.46492102,0.919230061,1.981733347,0.932803738,0,0,0,0,0,0,0,0,0,0,0,0,0,88.97720602,79.54455226,80.32410286,1.526496903,0,1.33928212,7.163274722,6.395734163,5.722066158,27.42129548,28.26750772,28.98968535,24.38150663,31.2419439,35.21829409,30.6929306,87.93541335,33.42534213,26.96633183,23.69577751,71.99005816,38.25380018,31.11062047,19.34837995
