protein,EVP2D,Exomere2D,Super2D,EVP3D,Exomere3D,Super3D,ExomereFPLC,SuperFPLC,EV3D,hEV3D,NV3D,SuperNCB,EVNCB,ExomereNCB
A2M,2.39592359,3.18441552,0,0,0,0,0,0,0,0,0,0,0.395318984,2.999164468
AACS,1.546742164,0,0,2.350126777,0.849893127,0.66640989,0,0.838373252,0,0,0,0.837993413,0.374820973,1.418978137
AAMP,0.288204472,0.952203771,2.301811415,1.744050692,0,0,0,0,0,0,0,0.963385343,0,0.408604919
AARS,0,0,0,0,0,0,0,0,0,0,0,4.464740888,2.608731929,5.162451676
AARS1,4.60508109,4.989681409,3.885179315,5.231888467,4.080294486,2.542294646,2.837648976,0,0.993486349,0,0,0,0,0
ABCA1,0.979331799,0,0,0,0,0,0.863610729,0,2.558761521,0.51326199,0,0,4.677675686,0
ABCB6,0,0,0,0,0,0,0,0,1.96381233,3.818751346,0.674196242,0,1.050646014,0
ABCC1,0.940776897,0,0,0,0,0,0,0,4.056714061,0,0,0,2.606011105,0
ABCC3,0.320449026,0,0,0.641094235,0,0,0,0,4.575703121,3.63172909,0,0,3.089519076,0
ABCE1,4.350884463,3.270386245,1.793268639,4.317024905,1.434698997,0,2.589575923,0,0.650017374,0,0,1.275858292,2.103378868,3.208678074
ABCF1,3.018030619,1.007383846,0,1.75018263,0.658180412,0,0.30852648,0,0,0,0,1.779349539,1.425466987,3.406042374
ABCF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD10,0.467156161,0,0.617205287,2.696364407,0.665427342,0.34524815,0.262855793,0,0,0,0,1.138770573,0,0.246454027
ABHD11,0,0.307044128,1.70792833,0,0,0.34524815,0,0.838373252,0,0,0,2.231551431,0,0
ABHD14B,1.226293138,1.143966662,2.576973984,2.47424936,0,0,1.611779827,0.611610745,1.351128261,0,0,2.121956393,0,0.408604919
ABI1,1.885198903,1.607933608,0,1.317498635,0,0,0,0,1.850397829,0,0,0,1.623782823,2.098064214
ABP1,0,0,0,0,0,0,0,0,0,0,0,5.743459361,2.773211965,5.813375415
ABR,1.24985143,0,0.300930613,0.301309824,0,0,0,0,1.504616374,0,0,0,0,1.073817536
ABRACL,0,0.322963915,1.105128403,0,0,1.396545073,0.30852648,2.233089146,0.688597482,0,0,0,0,0
ABRAXAS2,2.628731457,2.093214565,0.61490272,2.400398565,0.334539723,0,0.735195985,0,0,0,0,0,0,0
ACAA1,0.467156161,1.471350792,1.525226876,2.816504081,0,0,0.472340193,0,0,0,0,2.947079327,0,2.05090141
ACAA2,1.635049802,5.074619123,4.764991955,5.484041148,4.611520535,3.693852128,4.18951847,0.838373252,0,0,0,6.319669622,0.826911465,4.800521645
ACACA,3.162221066,0,0,2.367329447,0,0,0.571382273,0,0.650017374,0,0,0,0.374820973,0.832702918
ACADM,0,0,0,0,0,0,0,0,0,0,0,0,0.43159248,0.670552026
ACADSB,0,0,0,0,0,0,0,0,0,0,0,0,0,1.131192609
ACADVL,2.288707853,1.143420668,0,0,0,0,0,0,0,0,0,0,0,2.913262024
ACAP2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.119509944
ACAT1,0,0,0,0,0,0,0,0,0,0,0,1.180941075,0.655327029,2.108162136
