rna,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8
misc_RNA:VTRNA1-1:ENSG00000199990.1,185.5268656,126.2090665,104.6930395,9813.953925,11633.04799,7257.239504,1.372760332,0.606964017,1.83163375,1254.204313,2227.173648,3292.539675,7266.6169,6972.623888,6312.12925,0.742258843,0.035907911,15787.33085,17070.99031,7379.965753,9259.558955,22.75682202,105.5796182,88.17712925,30.18273426,167.7701621,32.04209022,472.8412124,538.8063904,23.09621775,22.01663178,36.78111659,60.36222013,5.530849227,14.11124453,66.75640887,1627.118564
lncRNA:AC073140.2:ENSG00000286171.1,49.00072042,30.46136379,143.4976246,16399.53006,13701.34618,16871.01582,6.177421494,7.662920712,16.53420737,172.5398415,139.7798728,899.162466,1563.660391,5251.314522,3959.123453,3.958713831,72.31853362,2633.49575,1449.573579,632.959426,526.3046699,4.761617651,10.07919983,21.01269243,8.137501885,7.334042731,0.461338995,5.622181323,7.135469915,428.9545041,283.8706156,609.7242197,989.7806927,57.88706387,47.72529401,15.02867593,82.26169777
lncRNA:RMRP:ENSG00000269900.3,108.9280383,97.42601476,279.2054812,266.6378947,323.7311304,958.2019899,3.96575207,3.414172595,7.376038617,54.32252985,27.69782012,23.11923719,3205.449812,878.7997047,509.1223216,6.123635458,1.939027217,11700.94143,6232.312619,9825.237887,3261.642318,17.31497328,49.76604917,76.8137699,10.9486389,0.157382891,0.712978447,4.203500055,2.587587991,4.09957865,5.863993936,21.17019993,33.12762355,0.896894469,0.266249897,0.290877599,0.965164324
misc_RNA:VTRNA1-2:ENSG00000202111.1,55.70311781,31.55226662,96.18199668,3014.387717,3182.117262,1767.278804,0.152528926,0.606964017,2.12865544,312.0554138,649.7962382,1951.323669,1820.028504,1583.08462,1484.585696,0,0,5407.304035,3673.593164,2014.815939,3344.173385,7.049667692,34.14328943,29.70978869,6.214092348,30.12308538,6.039346848,59.53206953,104.0131961,7.852714034,6.130539115,10.38855965,19.1936439,1.345341704,1.996874226,19.7796767,354.5122806
misc_RNA:AL390766.1:ENSG00000199200.2,0.732194673,1.006987233,321.4721854,5.931210355,5.338709496,3.590394432,0,0.151741004,34.05848704,47.14334088,57.11666983,10401.68366,3.316434685,272.3204899,235.0627057,7.298878626,2970.266526,933.6210076,7.889276916,5.290624976,2.862048334,11.62576777,29.22967951,16.88633289,7.101819827,0.094429735,0,0,0,0.346443266,0.213236143,0.056154376,0.605825202,0,0.066562474,0.0484796,0.148486819
lncRNA:AL355075.4:ENSG00000259001.3,83.69548339,68.55904742,98.49007609,81.77073153,93.09888021,157.6059349,18.45600002,11.53231632,20.49449656,35.17802594,17.210296,19.00152518,421.2643313,281.9010615,178.0450424,2.969035373,8.258819629,2399.3056,1115.089852,823.4219252,351.5115726,11.4402502,28.47373953,28.12272733,6.066137768,0.503625252,0.62909863,5.727268825,1.999499811,2.078659597,2.718760825,6.963142682,10.73962858,0.485817838,0.199687423,0.145438799,0.222730229
misc_RNA:AL109936.1:ENSG00000201405.1,1.802325349,1.426565246,105.738888,14.92799011,14.20918066,14.11396432,0,0.075870502,11.88086757,43.5537464,65.39912478,2492.459654,1.15689582,126.1280639,102.6822522,4.948392289,543.0353446,111.7849041,5.403614326,8.118372808,3.174271788,8.162773117,20.91433965,9.268438352,2.367273276,0,0,0,0,0.173221633,0.053309036,0.056154376,0.68843773,0.037370603,0,0.0484796,0.222730229
lncRNA:EPCAM-DT:ENSG00000234690.7,14.30595746,10.82511275,6.275090897,1409.362209,1166.097355,720.121697,12.04978514,6.600733683,2.524684359,37.33178263,62.11841211,21.40352385,25.52883443,27.29011306,24.00364336,0,0.50271076,6.124138299,34.4750594,31.01400848,17.27636449,1.669658137,5.291579912,1.587061362,0.591818319,0.346242361,0.083879817,0.367806255,0.548882301,141.810777,124.3166715,260.4439981,232.8021027,15.62091201,6.123747627,2.860296386,11.21075484
misc_RNA:VTRNA3-1P:ENSG00000199422.1,2.027616018,3.69228652,1.586804595,170.0058159,185.1300185,171.5960925,0,0,0.049503615,50.73293537,59.69821423,41.6489412,406.0704329,211.708052,173.539854,0,0,388.0300539,705.3878142,405.188899,917.3645468,0.309195951,2.897769952,3.618499905,0.295909159,33.4281261,6.416806026,76.76641975,55.35870066,1.501254153,1.972434324,2.470792565,3.855251286,0,0.332812371,4.12076598,47.21880847
misc_RNA:AC104411.1:ENSG00000201778.1,33.00508295,32.64316946,12.80262798,162.3418924,112.0718324,141.2634499,0,1.213928034,1.138583142,1550.944123,1482.236743,231.1923719,37.79193013,17.35470547,14.09222906,145.7920078,48.94248328,1.085290331,53.06349268,15.50700424,6.140394607,5.689205506,36.53709939,21.39358715,9.025229363,0,0,0,0.156823515,3.637654295,2.132361431,3.481571341,6.856839787,1.233229895,2.329686597,0.630234797,1.5591116
