rna,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8
hsa-miR-21-5p,60679.22546,113482.6779,89660.66256,71791.90328,81579.42353,74572.49235,48565.20997,49618.32206,47349.26706,2085.075782,1334.981147,323.5406421,17737.52672,5127.638052,4138.898488,198.1831112,18.77983768,1348.318195,30068.62806,6862.214247,2759.014594,100.0558099,333.7475045,286.1154223,237.3191459,37.39417496,13.84016986,38.6722005,75.47131641,4521.200105,3744.05351,3492.46529,8298.318243,893.157409,728.3265928,295.0468441,986.7691562
hsa-miR-1246,19257.959,18127.70025,20795.79549,1331.190189,2064.23256,4181.44764,14210.66243,13454.79897,21598.62519,7989.719401,4871.481846,4765.694037,11583.99785,910.9284903,398.5469795,3179.589465,594.0963946,387.2160861,4193.853151,28055.27207,18369.66695,412.7147559,2118.269835,4942.61694,33572.66959,13192.0228,14621.04902,24816.30836,37448.51435,1948.685632,7249.122613,1522.232837,1890.835531,4449.119756,189.1039892,65.25354128,493.1989696
hsa-miR-320a-3p,19219.32165,19219.69398,20934.17206,5314.431121,6901.96577,8623.013165,20212.06554,19365.3387,21662.97988,5818.732658,3418.072349,3410.795217,970.3270876,730.0589112,567.9420603,734.9599647,263.528162,663.3449547,3878.390147,1303.044445,767.5493258,559.953868,2097.985445,1681.586736,1367.988044,29.24174119,11.70123452,54.33023821,62.10211179,165.3111785,133.4858256,206.5357966,404.801385,10.20217459,5.258435462,5.720592772,18.7093392
hsa-miR-92a-3p,3753.736798,4531.274716,6100.72271,9869.867246,9688.525725,6972.112664,2715.396201,2794.082981,2414.984348,33696.24134,22842.68805,14866.3129,1615.257944,1094.991593,950.7389013,749.6195769,543.1071604,4154.64643,20616.51781,6225.423679,2504.968776,1906.440397,7476.624446,7527.559003,4490.717404,55.9968327,11.78511434,55.95909448,75.1184635,1745.554397,850.7589021,1475.793168,3159.158129,318.0238306,143.7749443,29.81495385,201.8678305
hsa-miR-320b,16178.51717,14774.93626,12036.41774,1808.152802,2303.201411,2381.855286,25344.74016,22553.94829,19522.59209,2104.938205,1071.986312,1321.313732,173.9971314,156.0310601,120.9913375,156.8021807,46.89573233,124.4983052,995.5619035,380.0128216,230.108686,263.558629,784.665707,652.5361494,743.4717631,7.806191405,3.984291323,11.08673139,14.42776335,6.005016614,5.704066829,6.738525176,14.37457979,0.859523866,0.532499794,0.678714397,1.781841829
hsa-miR-200b-3p,218.5882712,278.0963074,380.6167203,22904.40175,22305.94961,18752.13489,53.38512402,36.79719352,59.70135954,805.9836147,478.5000108,210.7753832,6324.980828,1461.343619,1339.987172,3.896858928,0.430894937,655.9804846,13351.68257,2914.03975,1476.556754,6.987828501,21.54428964,45.83433212,22.93295986,10.7020366,4.571450045,16.55128147,31.05105589,2611.027416,2096.324523,2198.33153,4967.601432,354.5722802,211.1361682,121.1020402,519.55538
hsa-miR-192-5p,1553.942387,2137.16257,3492.34053,21479.04527,22880.39476,14864.72818,1042.23015,1028.197044,1716.587349,701.6460684,464.1401701,203.61228,6040.153077,1659.793709,1429.478233,75.64854712,7.253398109,432.9533215,11513.69719,2336.631886,975.1779231,11.74944615,39.30887935,38.72429722,17.16273125,14.41627284,8.765440911,36.20264422,44.45946639,1790.534281,1362.8455,1489.270218,3231.471628,213.7598485,119.2799538,81.15485,372.7019159
hsa-miR-194-5p,227.7125433,308.4737556,1113.684379,21765.54272,23021.66522,12025.59283,32.79371904,37.70763955,77.12663198,768.8911384,511.0920089,186.0262183,8274.658791,1848.598711,1593.214797,12.37098072,2.76490918,569.3122996,13796.83231,3231.112378,1330.592289,10.38898397,44.22248927,40.5652884,39.50387279,11.11123212,3.14549315,11.6121689,28.62029142,1514.7077,1424.524054,1259.318047,2574.949871,250.3456687,178.1877435,164.8791188,759.4358362
hsa-miR-22-3p,12530.10376,21175.43102,7992.662616,2230.401665,2677.157477,3467.330568,21328.88234,18958.97629,8523.53241,2365.542765,1160.081514,529.2117781,539.4219578,127.8054704,114.8642814,220.8220059,45.2439684,317.2923805,2077.581636,821.232701,268.3560592,781.5855259,1887.330169,1393.693805,1671.294933,15.80124228,4.445630319,12.50541266,15.40791031,56.98991729,54.3752165,49.13507941,112.5458,15.5088002,8.586559173,4.654041577,19.52601671
hsa-miR-335-5p,9056.797524,10546.09337,10255.9148,1951.034993,2729.558964,3550.714383,9475.63072,8805.682215,14613.81364,6030.758039,4852.873213,2276.236881,918.5752813,357.9649937,253.083459,595.2297375,130.4534422,420.2011601,4948.846145,1807.1133,725.086936,486.4270707,1874.731169,1121.671488,911.4002111,40.79364541,17.06954283,52.17594443,68.84552292,105.0300502,84.28158558,101.8078845,183.9230238,12.44441076,5.324997937,6.302347969,20.93664149
