rna,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8
rRNADB_28S_gi|124517661|ref|NR_003287.1|,7308.823548,7340.769095,6958.859422,22669.95234,18855.04886,25500.34313,18083.98197,19624.20885,21029.38312,9403.062403,9685.416764,9788.187468,58686.70266,21791.47786,12916.59116,477.2724363,864.1597965,27001.32576,61980.96933,172633.8227,49714.66419,726018.6847,441074.9819,447781.9992,16380.19948,11477.3362,25320.54882,59757.74494,30960.4119,2811.387105,55146.17178,16820.08885,11434.09703,1827.272999,261.0580238,124.7380102,628.0992447
rRNADB_18S_gi|124517659|ref|NR_003286.1|,950.7266215,729.3105033,1111.3763,6236.900939,5721.823503,7474.334561,1137.789522,1031.459476,1495.652716,1935.270039,1720.222867,2909.249316,1192.451085,889.3802686,744.0048198,120.8644817,296.3120851,1663.866359,2481.447771,1477.908722,551.7508815,127.5124104,478.384022,428.2526378,292.8021133,2583.629019,6945.123055,2402.615544,935.6482941,1052.379162,801.5546621,1469.953113,1944.753974,211.741836,74.61653359,28.26360666,126.8077435
FP671120.4:ENSG00000277739.1;RNA5-8SN1:ENSG00000278189.1;RNA5-8SN2:ENSG00000278233.1;RNA5-8SN3:ENSG00000275215.1,170.2071001,136.866348,121.5348065,9588.567932,8168.061261,11829.4211,103.1858183,103.2597534,82.02748985,618.3674764,468.711655,294.4593011,887.0305886,1829.276278,1150.661138,6.989604108,11.27508419,306.2456753,1549.108155,1237.458938,517.6144505,16.82025976,44.09649927,23.36154324,64.36024218,39.69196517,129.5523779,126.7355267,73.39340484,180.3237201,182.2635934,330.0754249,391.7210682,65.62277867,31.88342515,16.24066592,40.16568456
RNA5S1:ENSG00000199352.1;RNA5S10:ENSG00000199910.1;RNA5S11:ENSG00000199334.1;RNA5S12:ENSG00000199270.1;RNA5S13:ENSG00000202526.1;RNA5S14:ENSG00000201355.1;RNA5S15:ENSG00000201925.1;RNA5S16:ENSG00000202257.1;RNA5S17:ENSG00000200370.1;RNA5S2:ENSG00000201588.1;RNA5S3:ENSG00000199337.1;RNA5S4:ENSG00000200381.1;RNA5S5:ENSG00000199396.1;RNA5S6:ENSG00000200624.1;RNA5S7:ENSG00000202521.1;RNA5S8:ENSG00000200343.1,67.13661925,47.66406235,52.54487033,2167.02435,1671.673144,3385.061013,40.80148765,59.55834415,50.39467995,177.5652738,192.7553151,249.5505046,590.2482475,2268.047103,970.777979,5.381376614,12.67549274,757.2225684,934.3929893,593.3709564,304.157682,18.18072194,57.95539904,56.49938447,30.92250716,14.35331968,15.26612675,90.53288243,29.91408541,227.093561,196.9235782,334.0062312,465.9897304,77.730854,30.01967587,16.96785992,46.77334801
rRNADB_16S_gi|251831106:1671-3229,41.11554702,22.23763472,35.55884842,150.8126858,143.7344864,184.162473,27.60773557,29.28601381,19.25690619,48.33987238,37.32482944,37.9172647,160.0372551,281.2559052,126.289439,4.515407964,1.651763926,309.8503896,299.468306,285.055225,316.386434,2.844602753,9.071279849,7.490929627,5.32636487,1.605305491,1.467896803,5.464550071,3.724558472,2.944767763,3.251851183,5.503128894,7.655427554,0.186853014,0.665624742,0,0.222730229
rRNADB_5.8S_gi|142372596|ref|NR_003285.2|,0,0,2.704780559,313.5544351,239.7491234,469.9083471,0,0.455223013,0.643546993,0,0,0,15.65665677,47.6447955,34.88817834,0,0.215447469,5.232649812,21.39831273,9.1217672,4.527240091,0.06183919,0.755939987,0.063482454,0,0.094429735,0.041939909,0.73561251,0.117617636,0.692886532,0.746326501,0.786161271,3.442188648,0.822153263,0.931874639,0.484795998,0.222730229
RNA5S9:ENSG00000201321.1,4.111554702,3.188792903,3.426055375,97.69836383,67.43200763,144.977651,3.279371904,2.200244561,2.326669899,7.179188967,8.336237123,11.10924384,28.45963718,68.41882956,32.65360494,0.123709807,0.287263291,23.17870065,46.25493863,30.83157314,14.67450237,0.618391903,2.141829964,1.967956088,1.035682058,0.755437878,0.922677991,5.149287567,1.725058661,10.16233581,9.222463191,16.11630605,22.66337006,3.662319083,1.464374433,0.872632796,2.524275924
RNA5SP506:ENSG00000272351.1,1.633357347,2.349636876,1.731059558,31.72197898,33.75707081,65.43184336,1.06770248,0.834575523,0.742554223,4.068207081,2.366415699,7.163103173,13.26573874,56.93504676,29.66215989,0,0.143631646,8.449760438,20.8579513,13.40899778,8.325958789,0.803909474,1.637869973,1.587061362,0.443863739,0.188859469,0.503278904,2.732275036,0.901735209,4.388281372,4.211413827,7.861612705,8.45401532,1.42008291,0.532499794,0.484795998,1.039407734
rRNADB_12S_gi|251831106:648-1601,13.63008545,19.97191345,7.861895491,37.31997527,39.95818723,53.85591648,24.70968598,19.27110753,8.168096455,26.08438658,30.49449322,11.06635101,10.87482071,16.99986948,9.29870869,2.103066723,0.107723734,6.046617561,8.645782922,3.466271536,5.724096667,1.978854089,4.78761992,7.808341899,1.035682058,0.031476578,0.041939909,0.157631252,0,0.750627077,0.426472286,1.235396282,2.340688281,0,0,0.0969592,0.296973638
RNA5SP150:ENSG00000199839.1,0.957485342,0.92307163,0.93765726,50.18203818,35.64615263,68.52701097,0.457586777,0.531093515,0.346525304,4.546819679,3.979880949,8.063852674,9.33229295,10.58056393,7.064135284,0.123709807,0.071815823,13.10100472,11.02337323,11.94951503,6.452618061,0.494713522,1.511879975,1.269649089,0.887727478,0.346242361,0.209699543,0.945787512,0.509676423,6.697903146,5.650757793,11.79241906,17.62400588,1.94327135,0.865312165,0.339357198,1.187894553
