rna,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8
SNORD33:ENSG00000199631.1,1780.472154,1919.905075,1843.650556,508.8845199,511.4073027,894.1320203,3856.770153,3448.010839,3341.692019,792.1038494,307.7416053,292.1001953,419.2590452,74.28975223,61.19847813,275.5635956,62.69521336,109.4205216,1009.719373,1044.807215,479.4711517,456.4969026,1067.135282,875.8674243,584.4205899,16.36782069,106.2337887,96.2076075,201.0477457,2.482843408,34.8641094,5.053893882,5.75533942,2.242236173,4.526248246,5.332755974,7.795558002
AP003499.3:ENSG00000273885.1,850.134338,1005.812414,226.9851845,165.6740331,160.5719548,96.44542285,4473.978451,3437.540709,1291.499809,126.1144195,55.50320458,49.58411538,70.10788671,28.25784757,22.5619831,43.54585214,1.651763926,3.217110625,299.1440891,340.4243519,81.17809819,39.94811692,431.8937128,151.4056539,75.1609265,0.566578408,0.964617899,1.418681269,3.018852656,0.057740544,0.639708429,0.561543765,0,0,0,0,0.148486819
SNORD3A:ENSG00000263934.4,48.49381642,58.99266871,52.65306155,102.6965748,103.6941652,197.9050172,18.83732233,19.49871904,20.6430074,21.5375669,24.04063222,21.23195252,597.2667488,148.8053092,92.9510454,0.371129422,0.538618671,106.0483695,1158.859128,1403.292666,1380.704153,2.102532469,13.35493978,21.96492924,6.805910667,0.53510183,1.090437625,3.415343795,3.136470292,0.635145988,1.066180716,0.9546244,1.927625643,0.411076632,0.133124948,0.145438799,0.371217048
SNORD3C:ENSG00000264940.4,48.49381642,58.99266871,52.58093407,99.76429103,101.7229494,195.3669798,18.76105787,19.34697804,20.6430074,21.2982606,24.04063222,21.23195252,595.8784738,146.8375823,92.05000773,0.371129422,0.538618671,93.87761367,1158.426839,1401.55953,1379.403222,2.102532469,13.35493978,21.83796434,6.805910667,0.503625252,1.048497717,3.362800044,2.979646778,0.577405444,0.959562644,0.9546244,1.927625643,0.411076632,0.332812371,0.242397999,0.371217048
SNORD3B-1:ENSG00000265185.5,41.96038703,55.04863539,46.52222561,91.23401097,94.74156005,185.1529267,16.32059506,15.47758243,10.79178804,20.10172911,22.91120654,17.71474018,576.1341185,144.5795352,91.11292856,0.309274518,0.574526583,93.52877035,1134.434792,1373.829358,1364.208348,1.855175708,11.8430598,20.88572752,5.918183189,0.188859469,0.503278904,1.786487523,1.725058661,0.519664899,0.746326501,0.9546244,1.734863079,0.411076632,0.133124948,0.145438799,0.519703867
SNORD3B-2:ENSG00000262074.6,40.66496568,53.70598574,46.70254432,91.30065379,94.82369405,185.4624434,17.54082646,15.47758243,10.49476635,20.10172911,22.91120654,17.71474018,576.1341185,144.5795352,91.11292856,0.309274518,0.538618671,93.52877035,1134.434792,1374.011793,1364.208348,1.855175708,11.8430598,20.88572752,5.918183189,0.188859469,0.503278904,1.786487523,1.725058661,0.519664899,0.852944573,1.010778776,1.734863079,0.112111809,0.133124948,0.0969592,0.371217048
SNORD3D:ENSG00000277947.1,23.3175842,26.09775245,44.28627369,38.31961746,40.94379513,128.8208761,6.482479345,5.159194143,9.851219361,8.375720462,8.927841047,8.793030841,573.0490629,142.5472927,89.34689474,0.247419614,0.215447469,93.3349685,1124.492141,1370.545522,1362.959454,0.927587854,8.945289851,15.87061362,5.17841029,0.157382891,0.503278904,1.733943773,1.685852782,0.346443266,0.319854215,0.730006894,0.991350331,0,0.066562474,0.0484796,0.222730229
SNORD3D:ENSG00000281000.1,23.3175842,26.09775245,44.28627369,38.31961746,40.94379513,128.8208761,6.482479345,5.159194143,9.851219361,8.375720462,8.927841047,8.793030841,573.0490629,142.5472927,89.34689474,0.247419614,0.215447469,93.3349685,1124.492141,1370.545522,1362.959454,0.927587854,8.945289851,15.87061362,5.17841029,0.157382891,0.503278904,1.733943773,1.685852782,0.346443266,0.319854215,0.730006894,0.991350331,0,0.066562474,0.0484796,0.222730229
SNORD89:ENSG00000212283.1,161.2517961,136.7824324,163.8015107,163.8746771,195.6021025,524.9404273,51.32598352,66.15907783,76.82961029,41.63929601,18.60863254,13.33967118,213.871474,91.06381699,49.4849885,2.22677653,1.184961077,25.46556242,306.1687877,129.2554412,83.83199755,1.298622996,11.21310981,7.1100349,4.586591971,0.944297347,3.564892237,11.76980015,12.50667529,0.057740544,4.637886113,1.235396282,1.184112895,0,0.133124948,0.0969592,0.222730229
SNORD123:ENSG00000239112.1,353.0868004,354.0399279,178.1909432,57.64603323,54.82443982,100.9024642,320.2344797,313.1175622,149.9464495,9.572251956,4.141227474,3.94614067,34.55262183,15.41923646,10.48807841,22.76260453,4.883475955,30.77573297,180.6968631,88.20748882,30.07752612,26.0961383,58.83732902,153.37361,184.3514063,0.094429735,0.125819726,0.367806255,0.235235272,0.057740544,0.266545179,0.056154376,0.715975239,0.074741206,0,0,0.296973638
