rna,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8
AC024051.1:ENSG00000273709.1;AC024051.10:ENSG00000278048.1;AC024051.11:ENSG00000278591.1;AC024051.2:ENSG00000274062.1;AC024051.3:ENSG00000274432.1;AC024051.5:ENSG00000274862.1;AC024051.6:ENSG00000275219.1;AC024051.7:ENSG00000275616.1;AC024051.8:ENSG00000276596.1;AC024051.9:ENSG00000277903.1;RNU2-1:ENSG00000274585.1,16712.45606,14286.71528,31809.22916,1453.479751,2108.790251,2963.8087,25075.06902,22897.41405,97637.16771,24503.05056,14414.05315,19531.55193,4450.038336,2772.010976,1875.960416,1671.010221,212.0003091,697.9579642,3441.670037,1947.953386,1485.142899,248.9027409,2817.010363,1199.374012,2572.338323,194.2419644,389.0345928,871.5957364,1243.728089,17.26442277,111.0427215,42.28424548,35.74368692,45.62950612,36.74248576,25.45178987,54.4946626
RNU11:ENSG00000274978.1,3754.187379,2622.110838,27699.40526,145.014761,232.1106621,96.81684296,3734.36569,3139.369636,55507.75982,3389.534418,1596.846557,27328.69696,251.8176569,940.5411662,627.194297,323.5011459,2193.757941,9842.575537,1867.056822,3806.513453,2057.968864,349.5151034,2297.049642,1356.112192,1549.528313,0.692484721,0.461338995,4.098412553,2.352352719,1.905437964,13.8603493,4.155423859,7.407589971,0.597929646,0.332812371,0.193918399,3.26671002
RNU12:ENSG00000276027.1,5964.570452,6463.683215,2453.993306,383.3961031,608.8182175,605.4147853,8741.966587,8463.657992,2482.11125,4722.470503,3919.591131,1932.064786,23595.8929,1179.345784,387.6624445,8199.733442,1816.940318,69.88494527,2137.885972,10502.07301,6373.937751,168.7591503,3841.435036,22160.20127,77010.80261,2818.19248,1814.068809,1261.050016,2184.316323,19.34308236,69.62160074,13.30858722,11.62082888,47.34855386,13.84499464,9.065685155,22.27302286
AC024051.4:ENSG00000274452.1,1519.529237,1299.768771,2905.006448,139.683336,199.2159982,284.4459037,2279.697325,2081.507225,8877.483256,2229.377481,1310.510258,1777.564801,405.684801,259.2238163,175.3779709,151.9156433,19.21073262,65.3499821,315.8952935,176.5061953,134.9846069,22.8805004,256.0116757,109.1898217,233.768236,17.84721987,35.60698246,82.44114483,114.0106951,2.425102863,10.1287168,4.380041364,3.634951212,4.297619332,3.32812371,2.327020788,5.048551849
AC024051.12:ENSG00000278774.1,1519.303946,1298.761783,2892.023501,132.0194125,191.7007379,269.4033891,2279.544796,2081.583096,8876.493184,2227.46303,1310.241347,1775.59173,404.5279051,252.1270966,170.620492,151.9156433,19.42618008,64.65229546,312.8692695,177.0535014,134.9846069,22.63314364,256.1376657,109.0628568,233.9161905,17.68983697,35.35534301,79.23597603,113.069754,1.616735242,10.07540776,3.8184976,3.249426084,4.185507523,3.32812371,2.327020788,5.122795258
RNU2-61P:ENSG00000223001.1,1515.924586,1295.740822,2878.066833,122.7560615,179.4627731,254.979908,2278.400829,2080.520909,8872.186369,2226.027192,1308.735446,1769.07202,398.5891733,241.836853,164.0609378,151.7919335,17.95395572,18.87629969,292.2274628,151.1476825,124.7853073,22.32394769,254.4997958,106.8409709,233.6202814,16.55668016,32.33566958,77.29185726,112.2856365,0.981589254,9.595626441,3.144645082,2.03777568,3.699689686,3.261561236,2.278541189,4.82582162
RNU2-37P:ENSG00000222627.1,1515.417682,1295.321244,2875.506308,121.2899196,178.0664952,254.0513577,2278.172035,2080.369168,8871.740837,2226.027192,1308.627882,1768.342841,397.2008983,240.25622,163.0878171,151.7300786,17.9180478,17.28712457,290.9305953,150.6915941,124.1608604,22.2621085,254.4997958,106.7774884,233.4723268,16.55668016,32.33566958,77.13422601,112.2072247,0.866108165,9.48900837,3.032336329,1.900088134,3.662319083,3.261561236,2.278541189,4.82582162
RNU2-7P:ENSG00000222726.1,1518.909688,1294.398172,2876.335774,121.4898481,176.5880833,251.9466438,2284.501986,2084.997268,8891.294765,2221.958985,1305.400951,1759.892953,394.6557275,239.0304229,162.4030285,151.2352393,17.66669242,14.45761763,289.2014387,147.1341049,122.1834452,22.20026931,254.1218258,106.4600761,233.3243722,16.55668016,32.29372967,77.08168226,112.0504012,0.635145988,9.382390298,2.583101317,1.597175533,3.662319083,3.194998762,2.278541189,4.751578211
RNU2-48P:ENSG00000222626.1,1516.149877,1294.230341,2872.080252,120.8234199,177.3272893,252.9990008,2280.765027,2082.341801,8865.651892,2222.91621,1306.207684,1762.166273,396.8923927,240.5142825,163.2319832,151.2970942,17.98986363,17.75224899,291.2548122,149.4145467,122.9119666,22.32394769,254.4997958,107.2218656,233.4723268,17.46950093,35.3134031,77.76475101,112.5992835,0.981589254,9.542317406,2.751564447,2.010238171,3.961283906,3.261561236,2.278541189,4.751578211
RNU2-33P:ENSG00000222276.1,1515.642973,1293.810763,2872.080252,120.6234915,177.0808873,252.5037739,2279.849854,2081.583096,8864.562813,2222.198292,1305.508516,1760.665024,396.8152663,240.3207356,163.1599002,151.2970942,17.63078451,15.77547017,290.066017,147.8638463,122.7038176,22.20026931,254.1218258,106.5235586,233.3243722,16.55668016,32.37760949,77.13422601,112.3248423,0.750627077,9.48900837,2.69541007,1.789938097,3.662319083,3.261561236,2.278541189,4.751578211
RNU2-57P:ENSG00000252468.1,795.8956095,705.7302189,2195.055647,65.37659954,85.41935193,122.135314,1626.187142,1425.227382,8172.205255,2023.334757,1168.63288,1628.083276,162.7366787,187.1275956,132.9931592,137.9364351,14.4349804,3.643474684,176.914333,90.85280131,95.5403771,20.83980712,242.278766,94.14447997,225.4827795,18.3823217,32.58730903,66.15258211,97.30899082,1.039329799,7.943046332,1.628476918,1.184112895,5.680331639,2.0634367,1.793745191,2.524275924
RNU2-26P:ENSG00000222440.1,795.8956095,705.7302189,2195.055647,65.37659954,85.41935193,122.135314,1626.187142,1425.227382,8172.205255,2023.334757,1168.63288,1628.083276,162.7366787,187.1275956,132.9931592,137.9364351,14.4349804,3.643474684,176.914333,90.85280131,95.43630262,20.83980712,242.278766,94.14447997,225.4827795,18.3823217,32.58730903,66.15258211,97.30899082,1.039329799,7.943046332,1.628476918,1.184112895,5.680331639,2.0634367,1.793745191,2.524275924
RNU2-29P:ENSG00000222355.1,699.9781074,615.6048616,2036.88008,60.0451745,76.13821081,93.659772,1559.684531,1352.771052,7952.310198,2021.898919,1168.256405,1620.190995,138.0562345,184.3856812,131.0108763,137.1323213,14.39907248,1.938018449,172.6995139,82.91686385,91.42943495,20.90164631,243.9166359,94.33492734,221.4880058,17.02882883,26.21244292,52.49120693,68.80631704,0.577405444,2.985306004,0.898470023,1.211650404,2.316977379,1.863749278,1.745265591,1.63335501
RNU2-68P:ENSG00000222810.1,645.6830562,572.3883262,1910.043903,55.91332009,70.22456337,61.59383552,1507.672167,1301.179111,7710.732557,2013.762505,1164.92191,1612.641856,133.4286513,181.9986027,129.6412991,136.8230468,14.00408546,2.015539187,170.3219236,82.91686385,91.16924874,21.14900307,243.412676,95.41412906,218.3809597,12.96835024,22.56367086,47.39446312,59.78896495,0.288702722,1.652580109,0.393080635,0.578287693,1.083747484,1.597499381,1.648306392,1.410624781
RNU1-1:ENSG00000206652.1;RNU1-2:ENSG00000207005.1;RNU1-3:ENSG00000207513.1;RNU1-4:ENSG00000207389.1,1634.652769,1283.069566,1851.440324,487.0923201,502.7010995,735.4118251,1258.287373,995.2692466,3012.988016,580.5570811,219.3774918,323.1117138,717.5067877,380.9003015,228.4310685,70.51459012,10.73646552,649.817586,1912.663327,1804.194335,745.3814606,28.94074105,160.2592773,158.5791713,78.26797267,8.058004031,15.68552584,52.43866318,52.45746564,10.56651962,71.75396217,24.25869063,20.84589445,2.728054011,2.129999175,1.163510394,3.26671002
RNU2-4P:ENSG00000277084.1,348.0177603,299.8304485,1784.578149,31.52205054,40.32779019,31.2611929,811.4538851,711.5894392,7471.481586,1950.585642,1109.04223,1553.363961,123.6336,179.5792665,127.0823521,137.3797409,14.29134875,39.69061784,183.2905979,92.8595901,88.6714611,19.41750575,237.1131761,88.1136468,215.1259589,10.19841135,19.12459835,40.30105678,51.28128928,0.635145988,1.705889145,0.336926259,0.826125276,1.457453513,1.464374433,1.454387993,1.262137962
