rna,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8
RNY1:ENSG00000201098.1,21212.9751,25185.00244,22111.40075,33680.27804,26382.87565,37736.28355,3274.872301,3136.410686,17486.80543,171834.1272,199162.6546,76760.07096,23991.08851,13543.96053,10437.15176,58771.06554,80474.62072,9604.354309,35712.48708,37214.98582,12096.10904,19771.65879,71978.71575,99416.31692,23482.31521,4.406720955,3.019673424,18.65303149,30.81582062,507.4239039,346.1355694,741.9116219,1106.264357,118.5395524,231.9702226,139.8151657,557.7164925
RNY4:ENSG00000252316.1,3713.916672,4772.532074,5489.911132,19909.34045,16987.40401,18616.56655,1306.105191,1157.025157,969.9738299,134908.6867,154480.2085,75488.16977,3919.485913,5327.475228,4417.247043,13101.92012,16544.35474,4179.298025,15374.36348,16677.23575,6315.239741,11214.2898,32912.36715,20670.33155,9697.830882,10.8594195,9.226779907,24.59047532,33.40340861,643.4028859,470.772095,1001.007915,1560.936171,122.2018714,163.0114993,136.7609509,425.0435196
RNY4P10:ENSG00000202441.2,3717.070741,4771.776833,5489.911132,19367.60102,16393.16458,17993.57121,1301.071737,1151.638351,967.7956709,135135.7884,154716.366,75560.91602,3808.655293,5280.927198,4378.89888,13113.85811,16565.54041,3880.223018,14791.63771,16485.9523,6134.982734,11324.79643,33031.55369,20799.26442,9705.968384,10.57613029,9.184839998,23.95995031,32.85452631,298.1721711,222.5119154,510.7802083,745.7708238,66.89337917,155.2236899,133.9491341,393.564314
RNY4P7:ENSG00000201470.1,3694.766965,4754.65805,5480.173922,10627.46274,8681.480846,9276.774469,1298.936332,1151.107258,967.003613,134896.4821,154467.9999,75465.47946,3521.436624,5153.08947,4278.991824,13100.62117,16543.81613,3833.788096,14657.30386,16410.15041,6067.906728,11212.49646,32908.58745,20661.38053,9688.805653,9.852168991,9.184839998,22.85653155,31.83517347,121.3706243,87.85329097,215.239725,277.5780926,49.88975485,146.7036932,129.6829294,378.9383623
RNY4P20:ENSG00000252487.1,687.1928619,894.2046626,542.5789801,926.0685292,843.2696984,1089.31329,194.7794382,160.617853,69.89910421,18302.62435,19771.56451,6238.376578,774.3489357,483.0285497,379.9856036,3669.665867,2536.678495,3463.43277,9512.306515,14416.86184,5688.867454,11212.62014,28153.85092,20199.03781,9691.61679,0.53510183,1.090437625,6.88323134,12.54588117,13.22258466,12.15446016,21.61943494,32.32903578,24.10403886,33.2812371,25.54874907,144.4034316
RNY4P27:ENSG00000200211.1,334.1060616,413.7039214,590.1470542,208.7919331,176.3416814,208.6142972,1200.402646,1050.19949,408.0087938,2417.950844,1694.192294,5804.815819,96.94786973,323.4168718,259.5348887,238.3887985,1322.991089,272.7954769,476.1664944,287.2444491,89.08775904,206.357378,1009.431863,488.6879345,223.55937,8.372769814,8.304101916,14.65970644,16.85852782,8.430119477,5.917302972,6.51390767,13.90644214,10.87484544,9.252183915,5.429715173,8.241018459
RNY3:ENSG00000202354.1,17.12209081,26.85299287,11.64858827,4327.784275,3181.131654,3573.494817,11.05834712,5.917899164,6.930506083,22.0161795,23.23389959,5.490282671,253.5915638,77.38650265,65.55950042,3.463874602,2.298106332,54.2257562,349.5057746,136.7352903,69.26156967,1.731497328,7.559399874,5.713420902,1.775454957,0.53510183,0.167759635,0.78815626,1.568235146,86.26437328,56.82743215,151.1675814,200.2252293,9.791097956,4.126873401,3.490531183,17.96690511
RNY4P9:ENSG00000200064.1,311.520672,383.4103888,286.2739744,65.90974204,63.07890604,70.817435,1199.10615,1048.075116,377.0690345,1493.989224,735.793936,2119.463575,65.48030342,149.4827233,118.324266,100.5142184,482.9255009,66.39651206,321.8392693,145.0360985,34.44865449,11.74944615,333.4955245,86.14569071,36.84069035,8.246863501,8.17828219,13.29356892,15.21188092,7.679492401,5.597448757,5.503128894,9.885965798,7.025673343,3.927185978,2.908775986,2.598519334
RNY1P13:ENSG00000201900.1,7.941496069,5.874092191,5.553816081,3110.086796,2484.183662,1610.229999,1.06770248,0.606964017,1.93064098,15.07629683,13.5531081,12.82495718,138.8274984,43.90288875,45.6285473,0.742258843,0.861789874,21.66704626,546.0892638,98.97117412,49.59149204,0.680231093,2.39380996,3.745464813,1.183636638,0.251812626,0.041939909,0.840700011,0.823323452,73.61919407,39.50199552,64.12829793,129.2059931,6.128778873,3.128436288,1.405908393,10.31983393
RNY4P23:ENSG00000201377.1,605.8629306,732.331465,201.740566,50.84846631,57.65806256,64.19377631,2175.825126,1831.893273,424.047965,1854.623816,892.7841047,334.3067433,72.49880473,66.580134,46.49354345,122.2252895,6.427516146,1.472894021,438.2331219,241.4531778,49.01908237,52.50147255,556.3718308,287.5755187,224.4470974,8.907871644,11.99481388,16.97163147,21.01435096,7.390789679,4.211413827,3.706188847,7.985877664,8.856832884,5.391560411,3.345092383,2.301545696
